測站名稱,縣市,AQI,狀態,主要污染物,PM2.5,PM10,SO2,NO2,CO,O3,風速,風向,緯度,經度,距離台北車站(公里),更新時間
基隆,基隆市,97,普通,懸浮微粒,30,76,1.1,23,0.25,22,0.3,31,25.129167,121.760056,26.1,2026/02/24 18:00:00
汐止,新北市,64,普通,細懸浮微粒,16,31,1.1,20,0.4,20,0.6,73,25.06624,121.64081,12.64,2026/02/24 18:00:00
新店,新北市,67,普通,細懸浮微粒,20,42,1.8,27,0.45,18,1.1,295,24.977222,121.537778,8.12,2026/02/24 18:00:00
土城,新北市,74,普通,細懸浮微粒,20,53,0.9,32,0.56,5,0.3,145,24.982528,121.451861,9.79,2026/02/24 18:00:00
板橋,新北市,83,普通,細懸浮微粒,20,50,1.7,30,0.6,13,1.4,356,25.012972,121.458667,7.04,2026/02/24 18:00:00
新莊,新北市,80,普通,懸浮微粒,21,52,0.7,23,0.35,17,2.2,25,25.037972,121.4325,8.58,2026/02/24 18:00:00
菜寮,新北市,78,普通,懸浮微粒,17,51,0.4,22,0.41,19,1.5,294,25.06895,121.481028,4.32,2026/02/24 18:00:00
林口,新北市,73,普通,細懸浮微粒,14,46,1.6,8,0.21,23,1.5,353,25.07798949,121.36548982,15.63,2026/02/24 18:00:00
淡水,新北市,106,對敏感族群不健康,懸浮微粒,21,68,0.5,11,0.23,23,,,25.1645,121.449239,14.66,2026/02/24 18:00:00
士林,臺北市,70,普通,懸浮微粒,16,38,0.5,16,0.31,24,1.3,314,25.10334003,121.51666356,6.18,2026/02/24 18:00:00
中山,臺北市,71,普通,細懸浮微粒,16,43,1,27,0.67,15,0.8,290,25.062361,121.526528,1.88,2026/02/24 18:00:00
萬華,臺北市,64,普通,細懸浮微粒,11,39,1.5,29,0.61,13,1.5,309,25.046503,121.507972,0.92,2026/02/24 18:00:00
古亭,臺北市,62,普通,細懸浮微粒,14,40,1.5,23,0.41,20,1.1,352,25.020608,121.529556,3.28,2026/02/24 18:00:00
松山,臺北市,72,普通,細懸浮微粒,19,31,2.1,17,0.35,24,0.9,302,25.05,121.578611,6.21,2026/02/24 18:00:00
大同,臺北市,68,普通,細懸浮微粒,21,37,0.9,33,1.33,11,-,-,25.06331455,121.51342074,1.76,2026/02/24 18:00:00
桃園,桃園市,91,普通,懸浮微粒,24,58,1.2,34,0.41,11,2.1,338,24.9947107,121.30500531,22.16,2026/02/24 18:00:00
大園,桃園市,105,對敏感族群不健康,懸浮微粒,23,70,1.3,14,0.34,32,2.8,357,25.06100357,121.20251473,31.71,2026/02/24 18:00:00
觀音,桃園市,93,普通,懸浮微粒,26,48,0.8,13,0.27,30,1.4,36,25.03556747,121.08283092,43.76,2026/02/24 18:00:00
平鎮,桃園市,98,普通,懸浮微粒,27,71,0.2,24,0.44,16,0.9,41,24.952786,121.203986,33.27,2026/02/24 18:00:00
