避難所名稱,地址,縣市,設施類型,緯度,經度,最近AQI測站,測站AQI,測站狀態,距離(公里),風險等級,預計收容人數
五峰活動中心,,新竹縣,室內,24.386,121.073,台中,43,良好,48.39,Low Risk,110
金門縣烈嶼鄉林湖村辦公處,東林24號,金門縣烈嶼鄉,室內,24.428328,118.248571,彰化,41,良好,236.1,Low Risk,30
南坑村集會所暨南外社區活動中心,9鄰大南坑1-5號,新竹縣北埔鄉,室內,24.6725,121.0561,新竹,39,良好,18.65,Low Risk,20
霞雲社區活動中心,6鄰22-1號,桃園市復興區,室內,24.814018,121.406238,新店,41,良好,21.73,Low Risk,36
澤仁里辦公處,14鄰中正路168之1號,桃園市復興區,室內,24.820601,121.351987,桃園,47,良好,19.47,Low Risk,40
奎輝里活動中心,3鄰羅馬路3段355號,桃園市復興區,室內,24.797047,121.334302,桃園,47,良好,21.66,Low Risk,50
高義教會,6鄰48號,桃園市復興區,室內,24.706112,121.354462,桃園,47,良好,31.97,Low Risk,61
上大社區活動中心,8鄰大湖路一段510號,桃園市觀音區,室內,24.978234,121.147333,桃園,47,良好,15.55,Low Risk,0
武威社區活動中心,4鄰武威一路10號,桃園市觀音區,室內,25.028242,121.073317,桃園,47,良好,23.35,Low Risk,0
塔腳社區活動中心,4鄰塔腳路116號,桃園市觀音區,室內,25.049298,121.154708,桃園,47,良好,16.18,Low Risk,0
廣福社區活動中心,福山路二段403巷6號,桃園市觀音區,室內,25.019018,121.153383,桃園,47,良好,15.24,Low Risk,0
草漯國民小學,新生路1462號,桃園市觀音區,室內,25.045941,121.142939,桃園,47,良好,17.13,Low Risk,100
上大國民小學,8鄰大湖路一段540號,桃園市觀音區,室內,24.979129,121.146755,桃園,47,良好,15.6,Low Risk,100
崙坪國民小學,崙坪里297之1號,桃園市觀音區,室內,24.999596,121.162676,桃園,47,良好,14.0,Low Risk,100
富林國民小學,大觀路三段466號,桃園市觀音區,室內,25.062195,121.1285,桃園,47,良好,19.18,Low Risk,100
樹林國民小學,觀音鄉樹林村新村路二段十二號,桃園市觀音區,室內,25.062176,121.128468,桃園,47,良好,19.18,Low Risk,100
觀音區公所綠資源中心,觀新路56號,桃園市觀音區,室內,25.028281,121.083597,桃園,47,良好,22.34,Low Risk,0
高雄市前鎮區光華國民小學,廣西路57號,高雄市前鎮區,室內,22.615,120.32,高雄,150,對所有族群不健康,2.35,High Risk,300
大武國小,民族街2巷49號,臺東縣大武鄉,室內,22.365009,120.905497,屏東,40,良好,44.27,Low Risk,350
尖山國小操場,尖豐路305號,苗栗縣頭份市,室內,24.64686,120.894048,新竹,39,良好,20.6,Low Risk,200
高雄市小港區鳳林國民小學,鳳林路207號,高雄市小港區,室內,22.527,120.343,高雄,150,對所有族群不健康,11.94,High Risk,300
大武社區活動中心,2鄰小山巷7號,屏東縣霧臺鄉,室內,22.757534,120.754782,台東,33,良好,41.62,Low Risk,30
和平國小,和平112號,花蓮縣秀林鄉,室內,24.308073,121.748879,花蓮,35,良好,57.75,Low Risk,250
