year,NDVI,MNDWI,NBR,image_count
2000,0.5256179542999535,-0.26253189983808034,0.49464702877430355,31
2001,0.519151306062555,-0.2196435476009002,0.5231701634325043,33
2002,0.5147642305569763,-0.1947670530332736,0.5235438764109845,31
2003,0.5201093081723933,-0.24301504015064843,0.5086886188550229,28
2004,0.5188472246403493,-0.2194349090349692,0.5297969362110232,34
2005,0.49610708258074165,-0.20992739903247687,0.5067805085929575,27
2006,0.5025561437816861,-0.19459849315222974,0.5129904281369742,30
2007,0.49421301621556013,-0.17346545668875943,0.531667962346905,22
2008,0.5035605519553639,-0.2101526324788907,0.5086250076588155,37
2009,0.515228849965771,-0.2141041028569908,0.5181838769695617,36
2010,0.5128756629641866,-0.19762442198112415,0.5273667215418155,25
2011,0.5227011291942618,-0.2010236174304916,0.5130660199708391,17
2012,0.5052878209533331,-0.23593813491043894,0.4859757774376419,14
2013,0.5430776898664518,-0.28321613513807303,0.4645473412804751,26
2014,0.5429747030521563,-0.27505950087533193,0.30908982475872776,35
2015,0.5391140418416479,-0.26361221947709085,0.40130666846696084,38
2016,0.5504016739460892,-0.2947861986754369,0.41921422795460905,33
2017,0.5420853352743268,-0.2790293107637465,0.4649815659196555,34
2018,0.5504817295516716,-0.2681382657773023,0.306556539462571,37
2019,0.5550459158887281,-0.2840845346552874,0.4406339595327985,35
2020,0.5699570382056476,-0.2973400378389559,0.4310199365932301,40
2021,0.5613473156268747,-0.25132927323182636,0.3858130487978097,43
2022,0.5885561614360652,-0.3621650938812328,0.28891143377606787,54
2023,0.566241675791343,-0.3183070849463934,0.2548806307523607,59
2024,0.5607303831587647,-0.3169542726122789,0.13106731820734402,38
2025,0.5427039184614199,-0.30438671256237193,0.13006694506843303,33
2026,0.4727969437623252,-0.19592484404521004,0.07867986910506589,8
