year,mean_ndvi,min_ndvi,max_ndvi,image_count
2000,0.5256179542999535,-0.24112969636917114,0.9988207817077637,31
2001,0.519151306062555,-0.30392181873321533,0.8965322971343994,33
2002,0.5147642305569763,-0.23556311428546906,1.0,31
2003,0.5201093081723933,-0.28061968088150024,0.8904813528060913,28
2004,0.5188472246403493,-0.2634198069572449,0.9122512936592102,34
2005,0.4961070825807416,-0.3111830949783325,0.9414694309234619,27
2006,0.5025561437816861,-0.2576684355735779,0.9328410625457764,30
2007,0.49421301621556013,-0.16799049079418182,0.8911176323890686,22
2008,0.5035605519553638,-0.22233133018016815,0.9171921610832214,37
2009,0.515228849965771,-0.2290981411933899,0.8989431858062744,36
2010,0.5128756629641865,-0.3515925407409668,1.0,25
2011,0.5227011291942618,-0.31355124711990356,0.9445540904998779,17
2012,0.5052878209533331,-0.5391606092453003,0.9653961658477783,14
2013,0.5430776898664518,-0.28434258699417114,0.9178314208984375,26
2014,0.5429747030521563,-0.49429988861083984,1.0,35
2015,0.5391140418416479,-0.3294235169887543,0.9630233645439148,38
2016,0.5504016739460892,-0.43274641036987305,0.9288919568061829,33
2017,0.5420853352743267,-0.23909403383731842,0.9060134291648865,34
2018,0.5504817295516716,-0.4502480626106262,1.0,37
2019,0.5550459158887281,-0.3615369498729706,0.9929203391075134,35
2020,0.5699570382056477,-0.298552006483078,0.9918032884597778,40
2021,0.5613473156268747,-0.42955198884010315,0.9641293883323669,43
2022,0.5885561614360652,-0.5154306888580322,1.0,54
2023,0.566241675791343,-0.4193730652332306,1.0,59
2024,0.5607303831587647,-1.0,1.0,38
2025,0.54270391846142,-1.0,1.0,33
2026,0.4727969437623252,-1.0,1.0,8
